time	Core 0	Core 1	Core 2	Core 3
202	0	0	1	0
213	0	0	2	0
224	0	0	3	0
257	0	0	4	0
429	0	0	5	0
440	0	0	6	0
1635	0	0	7	0
1685	0	0	8	0
1697	0	0	9	0
1708	0	0	10	0
1836	0	0	11	0
2046	0	0	12	0
2058	0	0	13	0
2069	0	0	14	0
2080	0	0	15	0
3217	0	1	15	0
3444	0	2	15	0
3455	0	3	15	0
3466	0	4	15	0
4650	1	4	15	0
4699	2	4	15	0
4710	3	4	15	0
4851	4	4	15	0
5052	5	4	15	0
5063	6	4	15	0
5123	7	4	15	0
6258	7	4	16	0
6269	7	4	17	0
6476	7	4	18	0
6488	7	4	19	0
6547	7	4	20	0
6558	7	4	21	0
6569	7	4	22	0
6661	7	4	23	0
6672	7	4	24	0
7866	8	4	24	0
7877	9	4	24	0
7937	10	4	24	0
8080	11	4	24	0
9247	11	5	24	0
9258	11	6	24	0
9269	11	7	24	0
9300	11	8	24	0
9474	11	9	24	0
9485	11	10	24	0
9649	11	11	24	0
10881	11	11	25	0
10892	11	11	26	0
11056	11	11	27	0
12262	11	12	27	0
12489	11	13	27	0
12500	11	14	27	0
12511	11	15	27	0
12690	11	16	27	0
13896	11	17	27	0
13907	11	18	27	0
13919	11	19	27	0
13930	11	20	27	0
14097	11	21	27	0
15303	12	21	27	0
15314	13	21	27	0
15478	14	21	27	0
15706	15	21	27	0
16762	16	21	27	0
16911	17	21	27	0
16922	18	21	27	0
16933	19	21	27	0
17113	20	21	27	0
17124	21	21	27	0
17176	22	21	27	0
17188	23	21	27	0
18318	24	21	27	0
18367	25	21	27	0
18378	26	21	27	0
18519	27	21	27	0
18568	28	21	27	0
18720	29	21	27	0
18731	30	21	27	0
18742	31	21	27	0
19900	31	22	27	0
20127	31	23	27	0
20139	31	24	27	0
20150	31	25	27	0
21333	31	25	27	1
21390	31	25	27	2
21534	31	25	27	3
21709	31	25	27	4
22941	31	26	27	4
23142	31	27	27	4
23153	31	28	27	4
23204	31	29	27	4
23215	31	30	27	4
24322	32	30	27	4
24333	33	30	27	4
24344	34	30	27	4
24375	35	30	27	4
24549	36	30	27	4
24724	37	30	27	4
25797	37	30	28	4
25956	37	30	29	4
25967	37	30	30	4
25978	37	30	31	4
26157	37	30	32	4
26168	37	30	33	4
