Iterations: 1000
Passes: 988
fails: 12
errors: 0

<Result> 	 <ResultType> 	 <Time of injection> 	 <Injected core> 	 <Injected register> 
1	false	0	1454962	2	r12
2	true	23414	1852008	8	rax
3	false	0	909378	0	rcx
4	true	32767	741123	7	rsp
5	true	32767	362409	2	rsp
6	false	0	362409	2	rdi
7	false	0	1539158	0	rdx
8	false	0	38709	7	rdx
9	false	0	628382	7	rdi
10	true	32767	1739101	4	rsi
11	false	0	1815537	4	r13
12	false	0	1522850	1	r15
13	false	0	354634	9	r9
14	false	0	1487030	5	r11
15	false	0	32864	3	r11
16	false	0	1840332	6	r12
17	false	0	147786	6	rbp
18	true	32767	721680	5	rsp
19	true	32767	277702	2	rsp
20	true	32767	299150	6	rsp
21	false	0	299150	6	r12
22	false	0	176976	6	r12
23	false	0	1760449	5	r10
24	false	0	1161482	4	r8
25	false	0	1808479	8	r10
26	false	0	631118	0	r9
27	false	0	880794	6	rsi
28	false	0	458110	2	rsi
29	false	0	1737557	6	rbx
30	false	0	920480	9	rsp
31	false	0	1422847	0	r11
32	false	0	950978	2	r8
33	false	0	12151	4	rcx
34	false	0	344092	7	rdx
35	false	0	593768	3	rdi
36	false	0	16754	6	rsi
37	false	0	16754	6	rsi
38	false	0	16754	6	rsi
39	false	0	1552060	1	r11
40	false	0	1725588	6	rcx
41	false	0	739876	3	r13
42	false	0	870962	3	rbp
43	false	0	1003187	1	rsp
44	false	0	711683	2	r14
45	false	0	921268	2	r15
46	false	0	1904605	3	rbp
47	false	0	179891	7	rbp
48	false	0	1277365	8	r12
49	false	0	1502139	8	r15
50	false	0	349008	5	r15
51	false	0	1492608	7	rcx
52	false	0	480295	4	r12
53	false	0	1755214	7	rdx
54	false	0	1560422	5	r12
55	false	0	1191987	2	r9
56	false	0	1505683	0	rsi
57	false	0	1569618	2	r8
58	false	0	1403550	0	rsp
59	false	0	562936	8	rsp
60	false	0	562936	8	rsi
61	false	0	1745764	8	rax
62	false	0	642050	2	rsp
63	false	0	1320893	6	rax
64	false	0	1051925	0	r10
65	false	0	1888389	4	r10
66	true	32767	482826	2	r10
67	true	32767	689792	2	rsi
68	false	0	577736	0	rsi
69	false	0	404834	0	r12
70	false	0	301470	4	r10
71	false	0	301470	4	r8
72	false	0	115191	1	rsp
73	false	0	311766	8	rsp
74	false	0	311766	8	r13
75	false	0	672201	7	r14
76	false	0	530413	3	rbx
77	false	0	1857219	0	rcx
78	false	0	1539127	6	rbp
79	false	0	595404	7	rax
80	false	0	1009081	2	rsp
81	false	0	293411	8	rbp
82	false	0	534206	9	r8
83	false	0	911940	2	rdx
84	false	0	1097679	5	r9
85	false	0	951633	7	rsi
86	false	0	160903	2	r15
87	false	0	103725	7	rcx
88	false	0	1005266	1	rdi
89	false	0	768440	7	r11
90	false	0	842902	2	rbp
91	false	0	1699328	4	r9
92	false	0	638840	7	r11
93	false	0	1042623	1	r13
94	false	0	1841811	9	rcx
95	false	0	426518	6	rsi
96	false	0	426518	6	r8
97	false	0	1554952	0	r11
98	false	0	675503	3	r12
99	false	0	1752937	0	rax
100	false	0	235646	4	r14
101	false	0	1114765	8	r8
102	false	0	1691839	7	r10
103	false	0	413195	8	r11
104	false	0	1091990	5	rsp
105	false	0	1332424	2	r15
106	false	0	1522689	9	r12
107	false	0	760488	8	rbp
108	false	0	1854392	0	r11
109	false	0	1654951	9	r14
110	false	0	1591519	6	rsp
111	false	0	890210	0	r14
112	false	0	17973	7	rdx
113	false	0	356898	4	r13
114	false	0	542961	8	r10
115	false	0	944726	8	r10
116	false	0	1295879	8	rax
117	false	0	1498166	6	rax
118	false	0	172098	8	rax
119	false	0	1561371	8	r12
120	false	0	195360	5	r15
121	false	0	1846900	6	r8
122	false	0	231310	8	rax
123	false	0	231310	8	rax
124	false	0	231310	8	r12
125	false	0	1430586	9	rcx
126	false	0	861299	4	r14
127	false	0	996676	5	rbp
128	false	0	1879539	7	r8
129	false	0	1749659	6	rbx
130	false	0	1864364	5	r14
131	false	0	1909182	0	r9
132	false	0	932240	9	r12
133	false	0	1477553	6	rbp
134	false	0	1390845	2	r12
135	false	0	1882805	4	rax
136	false	0	1318600	4	r13
137	false	0	1251966	4	r15
138	false	0	1578818	1	rdx
139	false	0	1343072	4	rsp
140	false	0	528318	2	rdi
141	false	0	9616	0	r8
142	false	0	48258	1	rdi
143	false	0	730400	3	rbp
144	false	0	389363	7	rsi
145	false	0	950800	2	r13
