time	task_A	task_B	task_C
228	0	1	0
1608	1	1	0
2010	2	1	0
3417	3	1	0
3428	4	1	0
3439	5	1	0
4649	5	2	0
4660	5	3	0
5025	6	3	0
5036	7	3	0
5047	8	3	0
6231	9	3	0
6242	10	3	0
6253	11	3	0
6458	11	4	0
6469	11	5	0
6480	11	6	0
7638	12	6	0
8040	13	6	0
8051	14	6	0
9246	15	6	0
9257	16	6	0
9268	17	6	0
9482	17	7	0
9493	17	8	0
10679	17	9	0
10690	17	10	0
10701	17	11	0
10906	17	11	1
12266	18	11	1
12277	19	11	1
13673	20	11	1
14083	21	11	1
14094	22	11	1
15284	23	11	1
16889	24	11	1
18296	25	11	1
19703	26	11	1
19714	27	11	1
20105	28	11	1
20117	29	11	1
20128	30	11	1
21163	30	11	2
21174	30	11	3
21185	30	11	4
21512	31	11	4
22919	32	11	4
22930	33	11	4
24151	33	12	4
24352	33	13	4
24363	33	14	4
24374	33	15	4
24580	33	15	5
25785	33	15	6
25796	33	15	7
26135	34	15	7
27148	35	15	7
27542	36	15	7
28949	37	15	7
30155	38	15	7
30557	39	15	7
31964	40	15	7
33223	40	15	8
33572	41	15	8
33584	42	15	8
34778	43	15	8
34789	44	15	8
34800	45	15	8
35022	45	16	8
36386	46	16	8
36398	47	16	8
36409	48	16	8
37793	49	16	8
37804	50	16	8
39200	51	16	8
39211	52	16	8
39602	53	16	8
39613	54	16	8
39624	55	16	8
40808	56	16	8
40819	57	16	8
40830	58	16	8
41035	58	17	8
42416	59	17	8
43876	59	17	9
45256	59	18	9
45267	59	19	9
45632	60	19	9
46864	60	20	9
48245	61	20	9
48257	62	20	9
48268	63	20	9
48647	64	20	9
49853	65	20	9
49864	66	20	9
51286	66	21	9
51487	66	22	9
51688	66	23	9
52738	66	23	10
53069	67	23	10
54484	68	23	10
55909	68	24	10
56110	68	25	10
57316	68	26	10
57692	69	26	10
58924	69	27	10
60305	70	27	10
60316	71	27	10
60707	72	27	10
61921	73	27	10
61932	74	27	10
63521	75	27	10
64779	75	27	11
64790	75	27	12
65129	76	27	12
66544	77	27	12
66555	78	27	12
67768	78	28	12
68144	79	28	12
68155	80	28	12
69376	80	29	12
69752	81	29	12
70984	81	30	12
70995	81	31	12
71006	81	32	12
71212	81	32	13
72391	81	33	13
72402	81	34	13
72413	81	35	13
72618	81	35	14
73804	81	36	14
74174	82	36	14
74186	83	36	14
75407	83	37	14
75782	84	37	14
77014	84	38	14
77025	84	39	14
78447	84	39	15
78649	84	39	16
78660	84	39	17
78671	84	39	18
79836	84	40	18
79847	84	41	18
80204	85	41	18
81410	86	41	18
81812	87	41	18
82869	87	41	19
82880	87	41	20
83219	88	41	20
84425	89	41	20
84827	90	41	20
85885	90	41	21
86234	91	41	21
87641	92	41	21
88886	92	42	21
88897	92	43	21
89101	92	43	22
90656	93	43	22
91888	93	44	22
92264	94	44	22
92275	95	44	22
93496	95	45	22
93872	96	45	22
93883	97	45	22
94936	97	45	23
94947	97	45	24
95279	98	45	24
95291	99	45	24
95302	100	45	24
96485	101	45	24
96887	102	45	24
98119	102	46	24
98130	102	47	24
98141	102	48	24
98346	102	48	25
98357	102	48	26
