time	task_A_1	task_B_1	task_B_2	task_B_3	voter	task_C_1
202	1	0	0	0	0	0
213	2	0	0	0	0	0
224	3	0	0	0	0	0
257	3	0	0	0	1	0
429	3	0	1	0	1	0
440	3	0	2	0	1	0
1635	3	0	3	0	1	0
1685	3	0	3	0	1	1
1697	3	0	3	0	1	2
1708	3	0	3	0	1	3
1836	3	0	3	1	1	3
2046	3	1	3	1	1	3
2058	3	2	3	1	1	3
2069	3	3	3	1	1	3
2080	3	3	3	1	1	4
3217	4	3	3	1	1	4
3444	4	3	3	2	1	4
3455	4	3	3	3	1	4
3466	4	3	3	4	1	4
4650	4	3	4	4	1	4
4699	4	3	4	4	1	5
4710	4	3	4	4	1	6
4851	4	3	4	5	1	6
5052	4	4	4	5	1	6
5063	4	5	4	5	1	6
5123	4	5	4	5	1	7
6258	4	5	4	6	1	7
6269	4	5	4	7	1	7
6476	4	6	4	7	1	7
6488	4	7	4	7	1	7
6547	4	7	4	7	1	8
6558	4	7	4	7	1	9
6569	4	7	4	7	1	10
6661	4	7	4	8	1	10
6672	4	7	4	9	1	10
7866	4	8	4	9	1	10
7877	4	9	4	9	1	10
7937	4	9	4	9	1	11
8080	4	9	4	10	1	11
9247	5	9	4	10	1	11
9258	6	9	4	10	1	11
9269	7	9	4	10	1	11
9300	7	9	4	10	2	11
9474	7	9	5	10	2	11
9485	7	9	6	10	2	11
9649	8	9	6	10	2	11
10881	8	9	7	10	2	11
10892	8	9	8	10	2	11
11056	9	9	8	10	2	11
12262	10	9	8	10	2	11
12489	10	9	8	11	2	11
12500	10	9	8	12	2	11
12511	10	9	8	13	2	11
12690	10	10	8	13	2	11
13896	10	11	8	13	2	11
13907	10	12	8	13	2	11
13919	10	13	8	13	2	11
13930	10	13	8	13	2	12
14097	10	13	8	14	2	12
15303	10	13	9	14	2	12
15314	10	13	10	14	2	12
15478	11	13	10	14	2	12
15706	11	13	10	15	2	12
16762	11	13	10	15	2	13
16911	11	13	10	16	2	13
16922	11	13	10	17	2	13
16933	11	13	10	18	2	13
17113	11	14	10	18	2	13
17124	11	15	10	18	2	13
17176	11	15	10	18	2	14
17188	11	15	10	18	2	15
18318	11	16	10	18	2	15
18367	11	16	10	18	2	16
18378	11	16	10	18	2	17
18519	11	16	11	18	2	17
18568	11	16	11	18	2	18
18720	11	16	11	19	2	18
18731	11	16	11	20	2	18
18742	11	16	11	21	2	18
19900	12	16	11	21	2	18
20127	12	16	11	22	2	18
20139	12	16	11	23	2	18
20150	12	16	11	24	2	18
21333	12	17	11	24	2	18
21390	12	17	11	24	2	19
21534	12	17	11	25	2	19
21709	13	17	11	25	2	19
22941	13	17	11	26	2	19
23142	13	18	11	26	2	19
23153	13	19	11	26	2	19
23204	13	19	11	26	2	20
23215	13	19	11	26	2	21
24322	14	19	11	26	2	21
24333	15	19	11	26	2	21
24344	16	19	11	26	2	21
24375	16	19	11	26	3	21
24549	16	19	12	26	3	21
24724	17	19	12	26	3	21
25797	17	19	12	26	3	22
25956	17	19	12	27	3	22
25967	17	19	12	28	3	22
25978	17	19	12	29	3	22
26157	17	20	12	29	3	22
26168	17	21	12	29	3	22
26225	17	21	12	29	3	23
27363	17	21	12	30	3	23
27565	17	22	12	30	3	23
27616	17	22	12	30	3	24
27627	17	22	12	30	3	25
27638	17	22	12	30	3	26
27779	17	22	12	31	3	26
28971	17	22	13	31	3	26
28982	17	22	14	31	3	26
28993	17	22	15	31	3	26
29146	18	22	15	31	3	26
30378	18	22	15	32	3	26
30553	19	22	15	32	3	26
30781	19	22	15	33	3	26
31986	19	23	15	33	3	26
32035	19	23	15	33	3	27
32187	19	23	16	33	3	27
33393	19	23	16	34	3	27
33404	19	23	16	35	3	27
33595	19	24	16	35	3	27
33607	19	25	16	35	3	27
33618	19	26	16	35	3	27
33630	19	26	16	35	3	28
33642	19	26	16	35	3	29
33795	19	26	16	36	3	29
33806	19	26	16	37	3	29
33817	19	26	16	38	3	29
35006	19	26	17	38	3	29
35176	20	26	17	38	3	29
36408	20	27	17	38	3	29
36463	20	27	17	38	3	30
36474	20	27	17	38	3	31
36485	20	27	17	38	3	32
36609	20	27	17	39	3	32
36819	20	28	17	39	3	32
36830	20	29	17	39	3	32
38033	20	30	17	39	3	32
38044	20	31	17	39	3	32
38055	20	32	17	39	3	32
38066	20	32	17	39	3	33
38217	20	32	17	40	3	33
38228	20	32	17	41	3	33
39423	20	33	17	41	3	33
39434	20	34	17	41	3	33
39446	20	35	17	41	3	33
39624	20	35	17	42	3	33
39635	20	35	17	43	3	33
39825	20	36	17	43	3	33
41031	20	37	17	43	3	33
41080	20	37	17	43	3	34
41091	20	37	17	43	3	35
41103	20	37	17	43	3	36
41232	20	37	17	44	3	36
42412	21	37	17	44	3	36
42639	21	37	17	45	3	36
