time	core_0	core_1	core_2	core_3
946	0	0	0	0
1047	2	2	1	1
1148	2	2	1	1
1249	3	3	3	3
1350	3	3	3	3
1451	5	4	4	4
1555	5	5	4	4
1656	6	6	6	6
1757	6	6	6	6
1858	8	8	7	7
1959	8	8	7	7
2060	9	9	9	9
2161	9	9	9	9
2262	11	11	10	10
2363	11	11	10	10
2464	12	12	12	12
2565	12	12	12	12
2667	14	14	13	13
2768	14	14	14	13
2869	16	15	15	15
2970	16	15	15	15
3071	17	17	16	16
3172	17	17	17	16
3273	19	18	18	18
3374	19	18	18	18
3475	20	20	20	19
3576	20	20	20	19
3677	22	21	21	21
3778	22	21	21	21
3879	23	23	23	22
3980	23	23	23	22
4081	25	24	24	24
4182	25	24	24	24
4283	25	25	24	24
4384	25	25	24	24
4485	26	26	26	26
4586	26	26	26	26
4687	28	28	27	27
4788	28	28	27	27
4889	29	29	29	29
4990	29	29	29	29
5091	31	31	30	30
5192	31	31	30	30
5293	32	32	32	32
5394	32	32	32	32
5495	34	34	33	33
5596	34	34	34	33
5697	35	35	35	35
5798	36	36	35	35
5899	37	37	37	36
6000	37	37	37	37
6101	38	38	38	38
6202	39	39	38	38
6303	40	40	40	39
6404	40	40	40	40
6505	42	41	41	41
6606	42	42	41	41
6707	43	43	43	42
6808	43	43	43	43
6909	45	44	44	44
7010	45	45	44	44
7111	46	46	46	45
7212	46	46	46	46
7313	48	47	47	47
7414	48	48	47	47
7515	49	49	48	48
7616	49	49	49	49
7717	51	50	50	50
7818	51	51	50	50
7919	52	52	52	51
8020	52	52	52	52
8121	54	53	53	53
8222	54	54	53	53
8323	55	55	55	54
8424	55	55	55	55
8525	57	56	56	56
8626	57	57	56	56
8727	58	58	58	57
8828	58	58	58	58
8929	59	59	59	59
9030	60	60	59	59
9131	61	61	61	60
9232	61	61	61	61
9333	63	62	62	62
9434	63	63	62	62
9535	64	64	64	63
9636	64	64	64	64
9737	66	65	65	65
9838	66	66	65	65
9939	67	67	67	66
10040	67	67	67	67
10141	69	68	68	68
10242	69	69	68	68
10343	70	70	70	69
10446	71	70	71	70
10547	72	71	71	71
10648	72	72	71	71
10749	72	72	71	71
10850	73	73	73	72
10951	73	73	73	73
11052	75	74	74	74
11153	75	75	74	74
11254	76	76	76	75
11355	76	76	76	76
11456	78	77	77	77
11557	78	78	77	77
11658	79	79	79	78
11759	79	79	79	79
11860	80	80	79	80
11961	81	81	80	80
12062	81	81	81	80
12163	81	81	81	80
12264	82	82	82	82
12365	83	82	82	82
12466	84	84	83	83
12567	84	84	84	83
12668	85	85	85	85
12769	86	85	85	85
12870	87	87	86	86
12971	87	87	87	86
13072	88	88	88	88
13173	89	88	88	88
13274	89	89	88	88
13375	89	89	88	88
13476	90	89	89	89
13577	90	90	90	90
13678	91	90	91	91
13779	92	92	91	91
13880	93	93	93	92
13981	93	93	93	93
14082	95	94	94	94
14183	95	95	94	94
14284	96	96	96	95
14385	96	96	96	96
14486	98	97	97	97
14587	98	98	97	97
14688	99	99	99	98
14789	99	99	99	99
14890	101	100	100	100
14991	101	101	100	100
15092	102	101	101	101
15193	102	102	102	102
15294	104	103	103	103
15395	104	104	103	103
15496	105	105	105	104
15597	105	105	105	105
15698	107	106	106	106
15799	107	107	106	106
15900	108	108	108	108
16001	108	108	108	108
16102	110	110	109	109
16203	110	110	109	109
16304	110	111	110	110
16405	111	111	111	111
16506	112	111	111	111
16607	112	111	111	111
16708	113	113	112	112
16809	113	113	113	112
16910	115	114	114	114
17011	115	114	114	114
17112	116	116	116	115
17213	116	116	116	115
17314	118	117	117	117
17415	118	117	117	117
17516	119	119	119	118
17617	119	119	119	118
17718	120	120	120	120
17819	121	120	120	120
17920	121	121	121	121
18021	122	122	122	121
18122	123	123	123	123
18223	124	123	123	123
18324	125	125	125	124
18425	125	125	125	124
18526	127	126	126	126
18627	127	126	126	126
18728	128	128	128	127
18829	128	128	128	127
18930	130	129	129	129
19031	130	129	129	129
19132	131	131	131	130
19233	131	131	131	130
19334	132	133	132	131
19435	133	133	132	132
19536	134	134	133	134
19637	135	134	134	134
19738	135	135	135	135
19839	136	136	136	135
19940	138	137	137	137
20041	138	137	137	137
20142	139	139	139	138
20243	139	139	139	138
20344	141	140	140	140
20445	141	140	140	140
20546	142	142	142	141
20647	142	142	142	141
20748	144	143	143	143
20849	144	143	143	143
20950	144	144	143	143
21051	144	144	143	143
21152	145	145	145	145
21253	145	145	145	145
21354	147	147	146	146
21455	147	147	146	146
21556	148	148	148	148
21657	148	148	148	148
21758	150	150	149	149
