time	task_A	task_B	task_C
477	0	0	0
578	1	1	1
679	1	1	1
780	2	1	1
881	2	1	1
982	3	2	2
1083	3	2	2
1184	4	3	3
1285	4	3	3
1386	5	4	4
1487	5	4	4
1588	6	5	5
1689	6	5	5
1790	7	6	6
1891	7	6	6
1992	8	7	7
2093	8	7	7
2194	8	7	7
2295	8	7	7
2396	9	8	8
2497	9	8	8
2599	9	8	8
2700	9	8	8
2801	10	9	9
2902	10	9	9
3003	11	10	10
3104	11	10	10
3205	12	11	11
3306	12	11	11
3407	13	12	12
3508	13	12	12
3609	14	13	13
3710	14	13	13
3811	15	14	14
3912	15	14	14
4013	15	14	14
4114	15	14	14
4215	16	15	15
4316	16	15	15
4417	17	16	16
4518	17	16	16
4619	18	17	17
4720	18	17	17
4828	19	18	18
4929	20	18	18
5030	20	19	19
5131	21	19	19
5232	21	19	19
5333	22	19	19
5434	22	20	20
5535	23	20	20
5636	23	21	21
5737	24	21	21
5838	24	22	22
5939	25	22	22
6040	25	23	23
6141	26	23	23
6242	26	24	24
6343	27	24	24
6444	27	25	25
6545	28	25	25
6646	28	26	26
6747	29	26	26
6848	29	27	27
6949	30	27	27
7050	30	28	28
7151	31	28	28
7252	31	29	29
7353	32	29	29
7454	32	30	30
7555	33	30	30
7656	33	31	31
7757	34	31	31
7858	34	32	32
7959	35	32	32
8060	35	33	33
8161	35	33	33
8262	35	33	33
8363	36	33	33
8464	36	34	34
8565	36	34	34
8666	36	34	34
8767	37	34	34
8868	37	35	35
8969	38	35	35
9070	38	36	36
9171	39	36	36
9272	39	37	37
9373	40	37	37
9474	40	38	38
9575	41	38	38
9676	41	39	39
9777	42	40	39
9878	42	40	40
9980	43	40	40
10081	43	40	40
10182	44	41	40
10283	44	41	41
10384	45	42	41
10485	45	42	42
10586	46	43	42
10687	46	43	43
10788	47	44	43
10889	47	44	44
10990	48	45	44
11091	48	45	45
11192	49	46	45
11293	49	46	46
11394	50	47	46
11495	50	47	46
11596	51	48	46
11697	51	48	47
11798	52	49	47
11899	52	49	48
12000	53	50	48
12101	53	50	49
12202	54	51	49
12303	54	51	50
12404	55	52	50
12505	55	52	51
12606	56	53	51
12707	56	53	52
12808	56	53	52
12909	56	53	52
13010	57	54	52
13111	57	54	53
13212	58	55	53
13313	58	55	54
13414	59	56	54
13515	59	56	55
13616	60	57	55
13717	60	57	56
13818	61	58	56
13919	61	58	57
14020	62	59	57
14121	62	59	58
14222	62	59	58
14323	62	59	58
14424	63	60	58
14525	63	60	59
14626	63	60	59
14727	63	60	59
14828	64	61	59
14929	64	61	60
15030	65	62	60
15131	65	62	61
15232	66	63	61
15333	66	63	62
15434	67	64	62
15535	67	64	63
15636	68	65	63
15737	68	65	64
15838	68	65	64
15939	68	65	64
16040	69	66	65
16141	69	66	65
16242	70	67	66
16343	70	67	66
16444	71	68	67
16545	71	68	67
16646	72	69	68
16747	72	69	68
16848	73	70	69
16949	73	70	69
17050	74	71	70
17151	74	71	70
17252	75	72	71
17353	75	72	71
17454	75	72	71
